""
"Indicator name: Beach litter originating from national land-based sources ends in the beach (tonnes)  Data Source: Florida State University(https://FSU.edu), Center for Ocean-Atmospheric Prediction Studies (COAPS)(https://www.coaps.fsu.edu/our-expertise/global-model-for-marine-litter)"
"Description: The indicator includes 14.1.1a Index of coastal eutrophication (ICEP) and 14.1.1b Plastic debris density. SDG 14.1.1a and SDG 14.1.1b will described as two indicators. Across the 14.1.1a and 14.1.1b, two levels are proposed: "
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Albania","2017","16481.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Albania","2018","18094.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Albania","2019","18500.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Albania","2020","20157.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Albania","2021","19828.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Algeria","2017","153459.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Algeria","2018","144421.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Algeria","2019","157950.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Algeria","2020","175154.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Algeria","2021","180214.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Angola","2017","48632.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Angola","2018","50225.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Angola","2019","52877.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Angola","2020","54660.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Angola","2021","55728.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Antigua and Barbuda","2017","175.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Antigua and Barbuda","2018","185.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Antigua and Barbuda","2019","172.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Antigua and Barbuda","2020","144.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Antigua and Barbuda","2021","151.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Argentina","2017","4135.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Argentina","2018","4473.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Argentina","2019","4847.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Argentina","2020","5804.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Argentina","2021","6262.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Australia","2017","2522.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Australia","2018","2498.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Australia","2019","2920.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Australia","2020","2857.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Australia","2021","2754.00"
"Beach litter originating from national land-based sources ends in the beach (tonnes) (tonnes)","Bahamas","2017","217.00"
